# fpr mean_ccr
0.330330 0.694306
0.331331 0.695223
0.332332 0.696140
0.333333 0.698670
0.334334 0.699488
0.335335 0.700307
0.336336 0.701125
0.337337 0.701944
0.338338 0.702762
0.339339 0.703581
0.340340 0.704399
0.341341 0.705217
0.342342 0.706036
0.343343 0.706854
0.344344 0.707673
0.345345 0.708491
0.346346 0.709305
0.347347 0.710103
0.348348 0.710900
0.349349 0.711698
0.350350 0.712495
0.351351 0.713293
0.352352 0.714090
0.353353 0.714887
0.354354 0.715685
0.355355 0.716482
0.356356 0.717280
0.357357 0.718077
0.358358 0.718874
0.359359 0.719596
0.360360 0.720196
0.361361 0.720797
0.362362 0.721397
0.363363 0.721997
0.364364 0.722598
0.365365 0.723198
0.366366 0.723798
0.367367 0.724399
0.368368 0.724999
0.369369 0.725599
0.370370 0.726200
0.371371 0.726800
0.372372 0.727258
0.373373 0.727610
0.374374 0.727963
0.375375 0.728316
0.376376 0.728669
0.377377 0.729022
0.378378 0.729375
0.379379 0.729727
0.380380 0.730080
0.381381 0.730433
0.382382 0.730786
0.383383 0.731139
0.384384 0.731492
0.385385 0.731845
0.386386 0.732197
0.387387 0.732550
0.388388 0.732903
0.389389 0.733256
0.390390 0.733609
0.391391 0.733962
0.392392 0.734314
0.393393 0.734667
0.394394 0.735020
0.395395 0.735373
0.396396 0.735726
0.397397 0.736079
0.398398 0.736407
0.399399 0.736735
0.400400 0.737063
0.401401 0.737390
0.402402 0.737718
0.403403 0.738046
0.404404 0.738373
0.405405 0.738701
0.406406 0.739029
0.407407 0.739357
0.408408 0.739684
0.409409 0.740012
0.410410 0.740375
0.411411 0.740936
0.412412 0.741496
0.413413 0.742057
0.414414 0.742617
0.415415 0.743177
0.416416 0.743738
0.417417 0.744298
0.418418 0.744859
0.419419 0.745419
0.420420 0.745979
0.421421 0.746540
0.422422 0.747100
0.423423 0.747785
0.424424 0.748705
0.425425 0.749624
0.426426 0.750544
0.427427 0.751464
0.428428 0.752383
0.429429 0.753303
0.430430 0.754222
0.431431 0.755142
0.432432 0.756062
0.433433 0.756981
0.434434 0.757901
0.435435 0.758821
0.436436 0.759578
0.437437 0.760196
0.438438 0.760813
0.439439 0.761431
0.440440 0.762049
0.441441 0.762667
0.442442 0.763285
0.443443 0.763903
0.444444 0.764521
0.445445 0.765139
0.446446 0.765756
0.447447 0.766374
0.448448 0.766992
0.449449 0.767490
0.450450 0.767943
0.451451 0.768396
0.452452 0.768849
0.453453 0.769303
0.454454 0.769756
0.455455 0.770209
0.456456 0.770662
0.457457 0.771115
0.458458 0.771569
0.459459 0.772022
0.460460 0.772475
0.461461 0.772928
0.462462 0.773425
0.463463 0.773926
0.464464 0.774426
0.465465 0.774927
0.466466 0.775427
0.467467 0.775927
0.468468 0.776428
0.469469 0.776928
0.470470 0.777429
0.471471 0.777929
0.472472 0.778430
0.473473 0.778930
0.474474 0.786676
0.475475 0.787169
0.476476 0.787663
0.477477 0.788156
0.478478 0.788649
0.479479 0.789143
0.480480 0.789636
0.481481 0.790129
0.482482 0.790622
0.483483 0.791116
0.484484 0.791609
0.485485 0.792102
0.486486 0.792596
0.487487 0.793033
0.488488 0.793346
0.489489 0.793659
0.490490 0.793972
0.491491 0.794285
0.492492 0.794598
0.493493 0.794911
0.494494 0.795224
0.495495 0.795537
0.496496 0.795850
0.497497 0.796163
0.498498 0.796475
0.499499 0.796788
0.500501 0.797164
0.501502 0.797603
0.502503 0.798042
0.503504 0.798481
0.504505 0.798920
0.505506 0.799358
0.506507 0.799797
0.507508 0.800236
0.508509 0.800675
0.509510 0.801114
0.510511 0.801553
0.511512 0.801992
0.512513 0.802430
0.513514 0.802938
0.514515 0.803475
0.515516 0.804013
0.516517 0.804550
0.517518 0.805088
0.518519 0.805625
0.519520 0.806163
0.520521 0.806700
0.521522 0.807238
0.522523 0.807775
0.523524 0.808313
0.524525 0.808850
0.525526 0.809387
0.526527 0.810147
0.527528 0.810936
0.528529 0.811724
0.529530 0.812513
0.530531 0.813301
0.531532 0.814090
0.532533 0.814878
0.533534 0.815667
0.534535 0.816455
0.535536 0.817244
0.536537 0.818032
0.537538 0.818821
0.538539 0.819583
0.539540 0.820028
0.540541 0.820472
0.541542 0.820917
0.542543 0.821362
0.543544 0.821807
0.544545 0.822251
0.545546 0.822696
0.546547 0.823141
0.547548 0.823586
0.548549 0.824031
0.549550 0.824475
0.550551 0.824920
0.551552 0.825348
0.552553 0.825732
0.553554 0.826115
0.554555 0.826499
0.555556 0.826882
0.556557 0.827266
0.557558 0.827649
0.558559 0.828033
0.559560 0.828416
0.560561 0.828800
0.561562 0.829183
0.562563 0.829567
0.563564 0.829950
0.564565 0.830353
0.565566 0.830779
0.566567 0.831204
0.567568 0.831629
0.568569 0.832055
0.569570 0.832480
0.570571 0.832906
0.571572 0.833331
0.572573 0.833757
0.573574 0.834182
0.574575 0.834608
0.575576 0.835033
0.576577 0.835459
0.577578 0.835845
0.578579 0.836212
0.579580 0.836578
0.580581 0.836945
0.581582 0.837311
0.582583 0.837677
0.583584 0.838044
0.584585 0.838410
0.585586 0.838776
0.586587 0.839143
0.587588 0.839509
0.588589 0.839875
0.589590 0.840242
0.590591 0.840599
0.591592 0.840955
0.592593 0.841311
0.593594 0.841667
0.594595 0.842023
0.595596 0.842379
0.596597 0.842735
0.597598 0.843090
0.598599 0.843446
0.599600 0.843802
0.600601 0.844158
0.601602 0.844514
0.602603 0.844868
0.603604 0.845173
0.604605 0.845479
0.605606 0.845784
0.606607 0.846090
0.607608 0.846395
0.608609 0.846701
0.609610 0.847006
0.610611 0.847312
0.611612 0.847617
0.612613 0.847923
0.613614 0.848228
0.614615 0.848534
0.615616 0.848867
0.616617 0.849291
0.617618 0.849715
0.618619 0.850139
0.619620 0.850564
0.620621 0.850988
0.621622 0.851412
0.622623 0.851836
0.623624 0.852260
0.624625 0.852685
0.625626 0.853109
0.626627 0.853533
0.627628 0.853957
0.628629 0.854320
0.629630 0.854599
0.630631 0.854878
0.631632 0.855157
0.632633 0.855435
0.633634 0.855714
0.634635 0.855993
0.635636 0.856272
