# fpr mean_ccr
0.487487 0.986801
0.488488 0.986864
0.489489 0.986927
0.490490 0.986989
0.491491 0.987052
0.492492 0.987115
0.493493 0.987178
0.494494 0.987241
0.495495 0.987304
0.496496 0.987367
0.497497 0.987430
0.498498 0.987493
0.499499 0.987556
0.500501 0.987588
0.501502 0.987588
0.502503 0.987588
0.503504 0.987588
0.504505 0.987588
0.505506 0.987588
0.506507 0.987588
0.507508 0.987588
0.508509 0.987588
0.509510 0.987588
0.510511 0.987588
0.511512 0.987588
0.512513 0.987588
0.513514 0.987588
0.514515 0.987588
0.515516 0.987588
0.516517 0.987588
0.517518 0.987588
0.518519 0.987588
0.519520 0.987588
0.520521 0.987588
0.521522 0.987588
0.522523 0.987588
0.523524 0.987588
0.524525 0.987588
0.525526 0.987588
0.526527 0.987588
0.527528 0.987588
0.528529 0.987588
0.529530 0.987588
0.530531 0.987588
0.531532 0.987588
0.532533 0.987588
0.533534 0.987588
0.534535 0.987588
0.535536 0.987588
0.536537 0.987588
0.537538 0.987588
0.538539 0.987588
0.539540 0.987588
0.540541 0.987588
0.541542 0.987588
0.542543 0.987588
0.543544 0.987588
0.544545 0.987588
0.545546 0.987588
0.546547 0.987588
0.547548 0.987588
0.548549 0.987588
0.549550 0.987588
0.550551 0.987588
0.551552 0.987588
0.552553 0.987588
0.553554 0.987588
0.554555 0.987588
0.555556 0.987588
0.556557 0.987588
0.557558 0.987588
0.558559 0.987588
0.559560 0.987588
0.560561 0.987588
0.561562 0.987588
0.562563 0.987588
0.563564 0.987588
0.564565 0.987588
0.565566 0.987588
0.566567 0.987588
0.567568 0.987588
0.568569 0.987588
0.569570 0.987588
0.570571 0.987588
0.571572 0.987588
0.572573 0.987588
0.573574 0.987588
0.574575 0.987588
0.575576 0.987588
0.576577 0.987588
0.577578 0.987588
0.578579 0.987588
0.579580 0.987588
0.580581 0.987588
0.581582 0.987588
0.582583 0.987588
0.583584 0.987588
0.584585 0.987588
0.585586 0.987588
0.586587 0.987588
0.587588 0.987588
0.588589 0.987588
0.589590 0.987588
0.590591 0.988387
0.591592 0.988475
0.592593 0.988563
0.593594 0.988651
0.594595 0.988739
0.595596 0.988827
0.596597 0.988915
0.597598 0.989003
0.598599 0.989091
0.599600 0.989179
0.600601 0.989267
0.601602 0.989355
0.602603 0.989441
0.603604 0.989473
0.604605 0.989504
0.605606 0.989536
0.606607 0.989567
0.607608 0.989599
0.608609 0.989630
0.609610 0.989662
0.610611 0.989693
0.611612 0.989725
0.612613 0.989756
0.613614 0.989788
0.614615 0.989819
0.615616 0.989847
0.616617 0.989863
0.617618 0.989879
0.618619 0.989894
0.619620 0.989910
0.620621 0.989926
0.621622 0.989941
0.622623 0.989957
0.623624 0.989973
0.624625 0.989989
0.625626 0.990004
0.626627 0.990020
0.627628 0.990036
0.628629 0.990052
0.629630 0.990067
0.630631 0.990083
0.631632 0.990099
0.632633 0.990115
0.633634 0.990130
0.634635 0.990146
0.635636 0.990162
0.636637 0.990178
0.637638 0.990193
0.638639 0.990209
0.639640 0.990225
0.640641 0.990241
0.641642 0.991063
0.642643 0.991078
0.643644 0.991094
0.644645 0.991110
0.645646 0.991126
0.646647 0.991141
0.647648 0.991157
0.648649 0.991173
0.649650 0.991189
0.650651 0.991204
0.651652 0.991220
0.652653 0.991236
0.653654 0.991252
0.654655 0.991267
0.655656 0.991283
0.656657 0.991299
0.657658 0.991315
0.658659 0.991330
0.659660 0.991346
0.660661 0.991362
0.661662 0.991378
0.662663 0.991393
0.663664 0.991409
0.664665 0.991425
0.665666 0.991441
0.666667 0.991456
0.667668 0.991456
0.668669 0.991456
0.669670 0.991456
0.670671 0.991456
0.671672 0.991456
0.672673 0.991456
0.673674 0.991456
0.674675 0.991456
0.675676 0.991456
0.676677 0.991456
0.677678 0.991456
0.678679 0.991456
0.679680 0.991456
0.680681 0.991456
0.681682 0.991456
0.682683 0.991456
0.683684 0.991456
0.684685 0.991456
0.685686 0.991456
0.686687 0.991456
0.687688 0.991456
0.688689 0.991456
0.689690 0.991456
0.690691 0.991456
0.691692 0.991456
0.692693 0.991456
0.693694 0.991456
0.694695 0.991456
0.695696 0.991456
0.696697 0.991456
0.697698 0.991456
0.698699 0.991456
0.699700 0.991456
0.700701 0.991456
0.701702 0.991456
0.702703 0.991456
0.703704 0.991456
0.704705 0.991456
0.705706 0.991456
0.706707 0.991456
0.707708 0.991456
0.708709 0.991456
0.709710 0.991456
0.710711 0.991456
0.711712 0.991456
0.712713 0.991456
0.713714 0.991456
0.714715 0.991456
0.715716 0.991456
0.716717 0.991456
0.717718 0.991456
0.718719 0.991481
0.719720 0.991512
0.720721 0.991543
0.721722 0.991575
0.722723 0.991606
0.723724 0.991638
0.724725 0.991669
0.725726 0.991701
0.726727 0.991732
0.727728 0.991764
0.728729 0.991795
0.729730 0.991827
0.730731 0.991858
0.731732 0.991890
0.732733 0.991921
0.733734 0.991953
0.734735 0.991984
0.735736 0.992016
0.736737 0.992047
0.737738 0.992079
0.738739 0.992110
0.739740 0.992142
0.740741 0.992173
0.741742 0.992205
0.742743 0.992236
0.743744 0.992263
0.744745 0.992263
0.745746 0.992263
0.746747 0.992263
0.747748 0.992263
0.748749 0.992263
0.749750 0.992263
0.750751 0.992263
0.751752 0.992263
0.752753 0.992263
0.753754 0.992263
0.754755 0.992263
0.755756 0.992263
0.756757 0.992263
0.757758 0.992263
0.758759 0.992263
0.759760 0.992263
0.760761 0.992263
0.761762 0.992263
0.762763 0.992263
0.763764 0.992263
0.764765 0.992263
0.765766 0.992263
0.766767 0.992263
0.767768 0.992263
0.768769 0.992263
0.769770 0.992263
0.770771 0.992263
0.771772 0.992263
0.772773 0.992263
0.773774 0.992263
0.774775 0.992263
0.775776 0.992263
0.776777 0.992263
0.777778 0.992263
0.778779 0.992263
0.779780 0.992263
0.780781 0.992263
0.781782 0.992263
0.782783 0.992263
0.783784 0.992263
0.784785 0.992263
0.785786 0.992263
0.786787 0.992263
0.787788 0.992263
0.788789 0.992263
0.789790 0.992263
0.790791 0.992263
0.791792 0.992263
0.792793 0.992263
0.793794 0.992263
0.794795 0.992263
0.795796 0.992282
0.796797 0.992303
0.797798 0.992324
0.798799 0.992345
0.799800 0.992366
0.800801 0.992387
0.801802 0.992408
0.802803 0.992429
0.803804 0.992450
0.804805 0.992471
0.805806 0.992492
0.806807 0.992513
0.807808 0.992534
0.808809 0.992555
0.809810 0.992576
0.810811 0.992597
0.811812 0.992618
0.812813 0.992639
0.813814 0.992660
0.814815 0.992681
0.815816 0.992702
0.816817 0.992723
0.817818 0.992744
0.818819 0.992765
0.819820 0.992786
0.820821 0.992807
0.821822 0.992828
0.822823 0.992849
0.823824 0.992870
0.824825 0.992891
0.825826 0.992912
0.826827 0.992933
0.827828 0.992954
0.828829 0.992975
0.829830 0.992996
0.830831 0.993017
